,base,visibility,dt,timezone,id,name,cod,coord.lon,coord.lat,main.temp,main.feels_like,main.temp_min,main.temp_max,main.pressure,main.humidity,main.sea_level,main.grnd_level,wind.speed,wind.deg,wind.gust,clouds.all,sys.sunrise,sys.sunset,main,description,date,snow.1h,sys.country
0,stations,10000,1677167700,-18000,0,,200,-70.71,33.25,20.55,20.98,20.55,20.55,1022,89,1022,1022,10.3,236,16.45,5,1677151113,1677191656,Clear,cielo claro,2023-02-23,,
0,stations,10000,1677167700,-18000,0,,200,-70.95,66.32,-36.99,-43.99,-36.99,-36.99,1014,91,1014,1010,4.24,316,6.94,80,1677154907,1677187977,Clouds,muy nuboso,2023-02-23,,
0,stations,1023,1677167701,7200,640660,Puolanka,200,27.52,64.76,-4.5,-9.2,-4.5,-4.5,999,96,999,972,3.3,211,8.85,100,1677130957,1677164665,Snow,nevada ligera,2023-02-23,0.13,FI
0,stations,10000,1677167701,-3600,0,,200,-9.38,0.62,27.2,30.3,27.2,27.2,1009,81,1009,1009,5.7,155,5.77,14,1677134890,1677178443,Clouds,algo de nubes,2023-02-23,,
0,stations,10000,1677167702,10800,0,,200,47.9,-32.09,23.59,24.28,23.59,23.59,1018,87,1018,1018,4.58,169,4.36,55,1677119558,1677166283,Clouds,muy nuboso,2023-02-23,,
0,stations,10000,1677167702,-10800,3387204,Soure,200,-48.31,0.5,24.61,25.4,24.61,24.61,1014,87,1014,1014,0.99,142,1.17,100,1677144227,1677187790,Clouds,nubes,2023-02-23,,BR
0,stations,10000,1677167702,-18000,6076235,Monet,200,-75.59,47.77,-17.5,-24.5,-17.5,-17.5,1025,79,1025,970,3.18,47,5.01,100,1677153300,1677191811,Snow,nevada ligera,2023-02-23,0.21,CA
0,stations,10000,1677167702,-10800,3864283,Bernasconi,200,-64.08,-37.85,32.06,30.15,32.06,32.06,1012,22,1012,990,4.17,175,5.01,75,1677146068,1677193518,Clouds,muy nuboso,2023-02-23,,AR
0,stations,10000,1677167703,7200,353223,Madīnat as Sādāt,200,30.37,30.38,16.87,15.94,16.87,16.87,1016,51,1016,1014,4.02,332,6.19,15,1677126712,1677167543,Clouds,algo de nubes,2023-02-23,,EG
0,stations,10000,1677167703,-14400,3808236,Kilometro Treinta y Tres,200,-61.73,6.45,30.73,31.47,30.73,30.73,1016,46,1016,999,1.34,61,2.26,90,1677147696,1677190762,Clouds,nubes,2023-02-23,,VE
